Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Vales Construction Corp,Construction,,,(347) 462-9200,N/A,"1115 Ocean Pkwy Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/vales-construction-corp-453267852,"$1,500 setup $20 per month (blog, landing & contact form)"
Skervin Contracting Inc,Construction,,,(347) 551-6550,N/A,"2152 Ralph Ave Brooklyn, NY 11234",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/skervin-contracting-inc-459135743,"$1,500 setup $20 per month (blog, landing & contact form)"
A J Concrete and Construc,Construction,,,(718) 758-9888,N/A,"1642 Ryder St Brooklyn, NY 11234",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a-j-concrete-and-construc-480983038,"$1,500 setup $20 per month (blog, landing & contact form)"
Joshuajpackard.Com,Construction,,,(917) 454-8157,https://www.joshuajpackard.com,"219 Chauncey St Brooklyn, NY 11233",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/joshuajpackard-com-561821149,"$1,500 setup $20 per month (blog, landing & contact form)"
Xcelent Contractor,Construction,,,(718) 864-8236,N/A,"663 Degraw St Brooklyn, NY 11217",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/xcelent-contractor-527377624,"$1,500 setup $20 per month (blog, landing & contact form)"
Et General Construction,Construction,,,(718) 210-4585,https://www.thebrooklynhomecompany.com/contact,"448 3rd Ave Brooklyn, NY 11215",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/et-general-construction-497315170,"$1,500 setup $20 per month (blog, landing & contact form)"
212Brownstone,Construction,,,(212) 222-2044,N/A,"450 Gates Ave # 2a Brooklyn, NY 11216",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/212brownstone-517335598,"$1,500 setup $20 per month (blog, landing & contact form)"
Rahmann Contracting Co,Construction,,,(718) 462-2480,https://www.rahmanncontracting.com,"668 3rd Ave Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rahmann-contracting-co-574173828,"$1,500 setup $20 per month (blog, landing & contact form)"
Judlau Contracting,Construction,,,(718) 965-9415,http://judlau.com,"186 7th St Brooklyn, NY 11215",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/judlau-contracting-459477187,"$1,500 setup $20 per month (blog, landing & contact form)"
V & G Custom Builders,Construction,,,(718) 837-4099,N/A,"2016 58th St Brooklyn, NY 11204",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/v-g-custom-builders-19184012,"$1,500 setup $20 per month (blog, landing & contact form)"
Leo's Construction Inc,Construction,,,(718) 633-1714,N/A,"738 46th St Brooklyn, NY 11220",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/leos-construction-inc-11327983,"$1,500 setup $20 per month (blog, landing & contact form)"
Gemco Enterprises Inc,Construction,,,(718) 768-7595,N/A,"138 30th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/gemco-enterprises-inc-6999490,"$1,500 setup $20 per month (blog, landing & contact form)"
A William Trucking & Backhoe Trenching Inc,Construction,,,(718) 923-9600,http://www.awilliamsconstruction.com,"225 3rd Ave Brooklyn, NY 11217",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a-william-trucking-backhoe-trenching-inc-5145205,"$1,500 setup $20 per month (blog, landing & contact form)"
Reggevconstruction,Construction,,,(917) 293-7487,N/A,"1825 Coney Island Ave Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/reggevconstruction-4915400,"$1,500 setup $20 per month (blog, landing & contact form)"
Yazdi Oumo Inc,Construction,,,(718) 832-3620,N/A,"33 34th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yazdi-oumo-inc-12403217,"$1,500 setup $20 per month (blog, landing & contact form)"
Modern Dream Constructions,Construction,,,(646) 409-8522,https://www.yelp.com/biz/modern-dream-construction-brooklyn-2,"303 Dean St Brooklyn, NY 11217",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/modern-dream-constructions-29234184,"$1,500 setup $20 per month (blog, landing & contact form)"
Pete Mannino Contr Corp,Construction,,,(718) 339-2427,N/A,"353 Avenue O Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/pete-mannino-contr-corp-15139919,"$1,500 setup $20 per month (blog, landing & contact form)"
Wright Contracting Inc,Construction,,,(718) 455-1059,https://www.wrightcontracting.com,"596 Bainbridge St Brooklyn, NY 11233",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/wright-contracting-inc-29393636,"$1,500 setup $20 per month (blog, landing & contact form)"
