Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Regal Construction & Paint,Construction,,,(347) 673-7630,N/A,"1463 64th St Brooklyn, NY 11219",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/regal-construction-paint-18638951,"$1,500 setup $20 per month (blog, landing & contact form)"
Downtown Complete Construction,Construction,,,(718) 643-1470,http://www.downtowncomplete.com,"199 Centre Street Brooklyn, NY 11231",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/downtown-complete-construction-541282388,"$1,500 setup $20 per month (blog, landing & contact form)"
Willows Contracting,Construction,,,(347) 649-5976,N/A,"463 Pennsylvania Ave Brooklyn, NY 11207",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/willows-contracting-574912981,"$1,500 setup $20 per month (blog, landing & contact form)"
Zoi Contracting,Construction,,,(718) 768-8851,https://www.zoicontracting.com,"267 44th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/zoi-contracting-16534428,"$1,500 setup $20 per month (blog, landing & contact form)"
Ash Contracting Corp,Construction,,,(718) 531-2675,https://ashcontractingcorp.com/contactus,"1641 E 94th St Brooklyn, NY 11236",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/ash-contracting-corp-503007418,"$1,500 setup $20 per month (blog, landing & contact form)"
Zalismah Contracting,Construction,,,(718) 602-2016,N/A,"843 Lexington Ave Brooklyn, NY 11221",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/zalismah-contracting-482058044,"$1,500 setup $20 per month (blog, landing & contact form)"
Israel Residential Construction,Construction,,,(917) 353-0091,https://www.israelresidentialconstruction.com,"551 Kosciuszko St Brooklyn, NY 11221",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/israel-residential-construction-575847981,"$1,500 setup $20 per month (blog, landing & contact form)"
E Contrctng Corp Mirage,Construction,,,(718) 836-8202,N/A,"858 62nd St Brooklyn, NY 11220",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/e-contrctng-corp-mirage-1319517,"$1,500 setup $20 per month (blog, landing & contact form)"
Sq Contracting,Construction,,,(347) 330-2084,https://www.sqcontracting.nyc,"601 Kosciuszko St Brooklyn, NY 11221",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/sq-contracting-576075457,"$1,500 setup $20 per month (blog, landing & contact form)"
Diamond Era Construction Inc,Construction,,,(718) 621-4767,https://www.diamonderaconstruction.com,"1267 Ovington Ave Brooklyn, NY 11219",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/diamond-era-construction-inc-7186917,"$1,500 setup $20 per month (blog, landing & contact form)"
Shell Builders Corp,Construction,,,(347) 374-5299,N/A,"1886 McDonald Ave Brooklyn, NY 11223",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/shell-builders-corp-1041358,"$1,500 setup $20 per month (blog, landing & contact form)"
K Morytko Construction,Construction,,,(718) 453-6210,N/A,"923 Bushwick Ave Brooklyn, NY 11221",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/k-morytko-construction-2586078,"$1,500 setup $20 per month (blog, landing & contact form)"
