Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Dream Home Improvement Inc,Construction,,,(718) 434-4045,N/A,"714 E 19th St Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dream-home-improvement-inc-571182953,"$1,500 setup $20 per month (blog, landing & contact form)"
K & R Construction,Construction,,,(718) 438-4096,N/A,"233 Ocean Pkwy Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/k-r-construction-532573599,"$1,500 setup $20 per month (blog, landing & contact form)"
Rici Corp,Construction,,,(718) 633-8900,N/A,"70 Ocean Pkwy Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rici-corp-538495789,"$1,500 setup $20 per month (blog, landing & contact form)"
E Hoque Contracting Group Inc,Construction,,,(718) 282-7674,N/A,"428 E 9th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/e-hoque-contracting-group-inc-453175765,"$1,500 setup $20 per month (blog, landing & contact form)"
Spencer Construction,Construction,,,(718) 773-0284,N/A,"1500 Carroll St Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/spencer-construction-503178755,"$1,500 setup $20 per month (blog, landing & contact form)"
State Of The Art Construction,Construction,,,(718) 778-6775,N/A,"1530 Carroll St Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/state-of-the-art-construction-480179230,"$1,500 setup $20 per month (blog, landing & contact form)"
Bahu Construction Inc,Construction,,,(718) 940-8898,http://www.artinconstruction.com,"866 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/bahu-construction-inc-21482178,"$1,500 setup $20 per month (blog, landing & contact form)"
Lhu Contracting Corp,Construction,,,(347) 272-7863,https://www.lhuco.com/contact-us,"1374 Union St Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lhu-contracting-corp-487603489,"$1,500 setup $20 per month (blog, landing & contact form)"
Red Hook Construction Gro,Construction,,,(718) 859-5609,N/A,"1635 Albany Ave Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/red-hook-construction-gro-497162092,"$1,500 setup $20 per month (blog, landing & contact form)"
Empire General Construction USA,Construction,,,(718) 633-1200,http://www.empireconstructionny.com,"646 Coney Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/empire-general-construction-usa-496809961,"$1,500 setup $20 per month (blog, landing & contact form)"
Fast Response Communications,Construction,,,(718) 451-3536,N/A,"569 E 55th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/fast-response-communications-454821295,"$1,500 setup $20 per month (blog, landing & contact form)"
Wolak Contracting,Construction,,,(718) 844-2884,N/A,"415 Albemarle Rd Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/wolak-contracting-535185366,"$1,500 setup $20 per month (blog, landing & contact form)"
J Lowry Company,Construction,,,(718) 484-4855,N/A,"878 E 52nd St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/j-lowry-company-15620778,"$1,500 setup $20 per month (blog, landing & contact form)"
New Dynamic Builders,Construction,,,(718) 434-5555,https://newdynamicbuilders.com/contact-us,"1699 Brooklyn Ave Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/new-dynamic-builders-471055629,"$1,500 setup $20 per month (blog, landing & contact form)"
Go Construction,Construction,,,(347) 221-1202,N/A,"1024 Montgomery St Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/go-construction-475769442,"$1,500 setup $20 per month (blog, landing & contact form)"
CB Painting,Construction,,,(347) 733-8513,http://www.cbpaintinginc.com,"1115 Prospect Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/cb-painting-469415188,"$1,500 setup $20 per month (blog, landing & contact form)"
Frank Moschella,Construction,,,(718) 434-3400,N/A,"615 Westminster Rd Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/frank-moschella-466726447,"$1,500 setup $20 per month (blog, landing & contact form)"
G M Construction,Construction,,,(718) 972-9119,N/A,"395 E 4th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/g-m-construction-8277411,"$1,500 setup $20 per month (blog, landing & contact form)"
B & A General Construction,Construction,,,(347) 661-8280,N/A,"123 E 92nd St Brooklyn, NY 11212",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/b-a-general-construction-496960820,"$1,500 setup $20 per month (blog, landing & contact form)"
Galaxy Group,Construction,,,(718) 703-0001,N/A,"402 Ocean Pkwy Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/galaxy-group-471939771,"$1,500 setup $20 per month (blog, landing & contact form)"
Urban General Contracting Co.,Construction,,,(917) 774-6083,N/A,"413 E 4th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/urban-general-contracting-co-537311928,"$1,500 setup $20 per month (blog, landing & contact form)"
B A S C O General Construction Inc,Construction,,,(718) 435-2482,N/A,"964 Coney Island Ave Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/b-a-s-c-o-general-construction-inc-472658924,"$1,500 setup $20 per month (blog, landing & contact form)"
Yu Hua Construction Corp,Construction,,,(718) 436-8955,N/A,"234 E 3rd St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yu-hua-construction-corp-497942169,"$1,500 setup $20 per month (blog, landing & contact form)"
Blackstone Contractors,Construction,,,(646) 393-5138,N/A,"866 Eastern Pkwy Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/blackstone-contractors-509798220,"$1,500 setup $20 per month (blog, landing & contact form)"
Paris General Contracting,Construction,,,(718) 421-6000,N/A,"1321 Glenwood Rd Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/paris-general-contracting-10959052,"$1,500 setup $20 per month (blog, landing & contact form)"
Aquilagroup,Construction,,,(718) 252-0126,http://laquilagroup.com,"1590 Troy Ave Brooklyn, NY 11234",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/aquilagroup-29282395,"$1,500 setup $20 per month (blog, landing & contact form)"
US Builders Group Inc,Construction,,,(718) 437-9633,N/A,"4305 Avenue H Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/us-builders-group-inc-475168078,"$1,500 setup $20 per month (blog, landing & contact form)"
Mnb Construction Inc,Construction,,,(718) 435-4843,N/A,"364 Webster Ave Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mnb-construction-inc-499473287,"$1,500 setup $20 per month (blog, landing & contact form)"
Gordon & Halpern BLDRS,Construction,,,(718) 252-6608,N/A,"3211 Avenue I Brooklyn, NY 11210",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/gordon-halpern-bldrs-29393597,"$1,500 setup $20 per month (blog, landing & contact form)"
H & H Construction Group,Construction,,,(929) 234-6400,N/A,"1215 Glenwood Rd Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/h-h-construction-group-480250112,"$1,500 setup $20 per month (blog, landing & contact form)"
