Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Transcend Construction,Construction,,,(718) 851-1140,N/A,"1230 Prospect Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/transcend-construction-472296665,"$1,500 setup $20 per month (blog, landing & contact form)"
NorthStar Contracting Corp,Construction,,,(718) 536-9686,N/A,"Serving the NYC (All Boros) Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/northstar-contracting-corp-529927529,"$1,500 setup $20 per month (blog, landing & contact form)"
Yossi Stern Construction & Real Estate Management,Construction,,,(718) 467-1500,http://www.yossistern.com,"1486 Union Street Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yossi-stern-construction-real-estate-management-538234894,"$1,500 setup $20 per month (blog, landing & contact form)"
Define contracting inc.,Construction,,,(917) 517-2117,http://www.definecontracting.com,"445 E 5th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/define-contracting-inc-543722400,"$1,500 setup $20 per month (blog, landing & contact form)"
Vibez Camp LLC,Construction,,,(917) 804-1153,N/A,"128 E 59th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/vibez-camp-llc-484982224,"$1,500 setup $20 per month (blog, landing & contact form)"
Vinogradsky Yuri,Construction,,,(718) 871-9224,N/A,"153 E 3rd St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/vinogradsky-yuri-19417822,"$1,500 setup $20 per month (blog, landing & contact form)"
Gamzel,Construction,,,(718) 629-3333,https://revivalhhc.org,"5350 Kings Hwy Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/gamzel-2840239,"$1,500 setup $20 per month (blog, landing & contact form)"
Omega Builders & Management,Construction,,,(347) 533-7936,N/A,"465 Ocean Pkwy Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/omega-builders-management-29224662,"$1,500 setup $20 per month (blog, landing & contact form)"
Page 1 Construction,Construction,,,(347) 350-5297,https://www.gopenske.com,"825 Crown St Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/page-1-construction-5843102,"$1,500 setup $20 per month (blog, landing & contact form)"
M.H.Contracting Co.,Construction,,,(718) 288-5529,http://www.rosulcontracting.com,"595 E 4th St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/m-h-contracting-co-6152485,"$1,500 setup $20 per month (blog, landing & contact form)"
