Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
United Services Associates Inc,Construction,,,(516) 943-3616,N/A,"620 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/united-services-associates-inc-480178721,"$1,500 setup $20 per month (blog, landing & contact form)"
Lapietra Contracting Corporation,Construction,,,(718) 439-1919,http://www.lapietracontracting.com,"545 President St Brooklyn, NY 11215",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lapietra-contracting-corporation-4724100,"$1,500 setup $20 per month (blog, landing & contact form)"
Zion's Management Inc,Construction,,,(718) 251-0635,N/A,"14 Flatlands 1st St Brooklyn, NY 11236",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/zions-management-inc-466480295,"$1,500 setup $20 per month (blog, landing & contact form)"
Andrew Contracting Inc,Construction,,,(347) 930-0500,N/A,"465 46th St Brooklyn, NY 11220",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/andrew-contracting-inc-467179722,"$1,500 setup $20 per month (blog, landing & contact form)"
Corbel Construction Co Inc,Construction,,,(718) 484-1831,N/A,"1093 Flushing Ave # 106 Brooklyn, NY 11237",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/corbel-construction-co-inc-473245118,"$1,500 setup $20 per month (blog, landing & contact form)"
ProMax Contracting Co.,Construction,,,(718) 284-7700,N/A,"515 Coney Island Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/promax-contracting-co-505043077,"$1,500 setup $20 per month (blog, landing & contact form)"
Yellow Construction Inc.,Construction,,,(347) 721-7554,N/A,"222 Remsen Ave Brooklyn, NY 11212",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/yellow-construction-inc-505440645?lid=1000890491947,"$1,500 setup $20 per month (blog, landing & contact form)"
HandyCraftUS,Construction,,,(347) 554-4819,N/A,"3751 18th Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/handycraftus-486478999,"$1,500 setup $20 per month (blog, landing & contact form)"
Jannat Renovation & Contracting Co,Construction,,,(917) 651-4088,N/A,"3507 14th Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/jannat-renovation-contracting-co-534637756,"$1,500 setup $20 per month (blog, landing & contact form)"
Dip Contracting LLC,Construction,,,(646) 479-5379,N/A,"3533 12th Ave Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dip-contracting-llc-503117911,"$1,500 setup $20 per month (blog, landing & contact form)"
"Structural Repair Group, Masonry, Foundation Waterproofing",Construction,,,(917) 814-3334,https://www.nymasonrycontractor.com,"196 Utica Ave Brooklyn, NY 11213",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/structural-repair-group-masonry-foundation-waterproofing-577327640,"$1,500 setup $20 per month (blog, landing & contact form)"
The Prestige Interior & Exterior Designer,Construction,,,(347) 471-4015,http://www.theprestigetouch.com,"915 43rd St Brooklyn, NY 11219",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/the-prestige-interior-exterior-designer-514940624,"$1,500 setup $20 per month (blog, landing & contact form)"
Mr. Handyman of Downtown Brooklyn - Park Slope,Construction,,,(347) 212-2321,N/A,"160 20th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mr-handyman-of-downtown-brooklyn-park-slope-576825795,"$1,500 setup $20 per month (blog, landing & contact form)"
Renu Home Improvement,Construction,,,(347) 903-7368,N/A,"5308 13th Ave Suite 417 Brooklyn, NY 11219",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/renu-home-improvement-532708468,"$1,500 setup $20 per month (blog, landing & contact form)"
Acme Products & Engnrng Inc,Construction,,,(718) 851-4200,http://www.acmepumpparts.com/about.html,"556 39th St Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/acme-products-engnrng-inc-1304657,"$1,500 setup $20 per month (blog, landing & contact form)"
Wren Kitchens,Construction,,,(332) 278-9655,https://www.wrenkitchens.com/us/?utm_source=Yext&utm_medium=organic&utm_campaign=THD_Studio&utm_content=knowledgegraph,"550 Hamilton Ave Brooklyn, NY 11232",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/wren-kitchens-578181785,"$1,500 setup $20 per month (blog, landing & contact form)"
