Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
A1 Group Home Improvement,Construction,,,(917) 977-0705,N/A,"1640 Ocean Pkwy Brooklyn, NY 11223",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a1-group-home-improvement-480625739,"$1,500 setup $20 per month (blog, landing & contact form)"
Alpine Woodwork,Construction,,,(718) 238-1288,N/A,"255 Bay Ridge Ave Brooklyn, NY 11220",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/alpine-woodwork-6160022,"$1,500 setup $20 per month (blog, landing & contact form)"
Design Interiors Corp,Construction,,,(718) 417-8818,http://www.atlanticstairs.com,"284a Meserole St Brooklyn, NY 11206",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/design-interiors-corp-480144338,"$1,500 setup $20 per month (blog, landing & contact form)"
S.K. Contracting,Construction,,,(347) 512-9167,N/A,"9013 Fort Hamilton Pkwy Brooklyn, NY 11209",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/s-k-contracting-469650508,"$1,500 setup $20 per month (blog, landing & contact form)"
NATION RENOVATION,Construction,,,(646) 929-4400,N/A,"404 Graham Ave # 3 Brooklyn, NY 11211",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/nation-renovation-483209094,"$1,500 setup $20 per month (blog, landing & contact form)"
Aging In The Comfort of Home,Construction,,,(347) 915-3966,N/A,"Brooklyn, NY 11204",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/aging-in-the-comfort-of-home-474179464,"$1,500 setup $20 per month (blog, landing & contact form)"
Universal Renovation Nyc inc,Construction,,,(347) 865-8387,N/A,"brooklyn, NY 11234",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/universal-renovation-nyc-inc-495843665,"$1,500 setup $20 per month (blog, landing & contact form)"
Master K Construction,Construction,,,(718) 854-4200,N/A,"Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/master-k-construction-524580594,"$1,500 setup $20 per month (blog, landing & contact form)"
Dynamic Builders Corporation,Construction,,,(718) 252-0477,N/A,"587 E 38th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dynamic-builders-corporation-465603607,"$1,500 setup $20 per month (blog, landing & contact form)"
Affordable Reliable Contracting Services,Construction,,,(646) 419-1052,N/A,"5507 Kings Hwy Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/affordable-reliable-contracting-services-470856301,"$1,500 setup $20 per month (blog, landing & contact form)"
J.K. Construction N.Y. Inc.,Construction,,,(718) 479-4444,N/A,,4/4/25,,,https://www.yellowpages.com/nationwide/mip/j-k-construction-n-y-inc-20333008?lid=1000116668483,"$1,500 setup $20 per month (blog, landing & contact form)"
New York Skylight Installers,Construction,,,(718) 701-8407,http://www.campbellsrestoration.com,,4/4/25,,,https://www.yellowpages.com/nationwide/mip/new-york-skylight-installers-548698206,"$1,500 setup $20 per month (blog, landing & contact form)"
"Miller General Contracting, Ltd.",Construction,,,(917) 607-7192,N/A,"6639 Selfridge St Forest Hills, NY 11375",4/4/25,,,https://www.yellowpages.com/forest-hills-ny/mip/miller-general-contracting-ltd-472747035?lid=1000115519257,"$1,500 setup $20 per month (blog, landing & contact form)"
S.M. Construction Corp.,Construction,,,(646) 387-1921,N/A,,4/4/25,,,https://www.yellowpages.com/nationwide/mip/s-m-construction-corp-29435597,"$1,500 setup $20 per month (blog, landing & contact form)"
