Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
American Builders Contracting Inc,Construction,,,(718) 266-3366,N/A,"2243 Cropsey Ave Brooklyn, NY 11214",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/american-builders-contracting-inc-475622951,"$1,500 setup $20 per month (blog, landing & contact form)"
RnR Construction Co.,Construction,,,(631) 693-9123,N/A,"3 Avenue C Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rnr-construction-co-513030544,"$1,500 setup $20 per month (blog, landing & contact form)"
Best Construction USA,Construction,,,(718) 249-5782,https://www.rhconstructionusa.com,"553 E 2nd St Brooklyn, NY 11218",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/best-construction-usa-534950749,"$1,500 setup $20 per month (blog, landing & contact form)"
Construction Online 11216,Construction,,,(718) 221-2462,http://homestead.com,"46 Decatur St Brooklyn, NY 11216",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/construction-online-11216-475233247,"$1,500 setup $20 per month (blog, landing & contact form)"
Mega Construction,Construction,,,(347) 291-4487,https://www.megaconstructionco.com,"4616 Avenue D Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mega-construction-577390941,"$1,500 setup $20 per month (blog, landing & contact form)"
Borough Construction,Construction,,,(718) 832-3219,N/A,"578 3rd Ave Brooklyn, NY 11215",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/borough-construction-468475643,"$1,500 setup $20 per month (blog, landing & contact form)"
Binchi Construction Corp.,Construction,,,(718) 266-1582,N/A,"2762 W 15th St Brooklyn, NY 11224",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/binchi-construction-corp-506671585,"$1,500 setup $20 per month (blog, landing & contact form)"
Handy2995,Construction,,,(718) 644-0429,https://www.handy2995.com/form__map,"485 Saint Marks Ave Brooklyn, NY 11238",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/handy2995-525475467,"$1,500 setup $20 per month (blog, landing & contact form)"
A K Azad Construction Co,Construction,,,(917) 674-1673,https://akazadconstruction.com,"454 Prospect Pl Brooklyn, NY 11238",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a-k-azad-construction-co-1198528,"$1,500 setup $20 per month (blog, landing & contact form)"
Joseph & Sons Builders,Construction,,,(718) 676-7200,N/A,"1222 Avenue M Brooklyn, NY 11230",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/joseph-sons-builders-472856752,"$1,500 setup $20 per month (blog, landing & contact form)"
