Company Name,Industry,Contact Name,Email Address,Phone Number,Website URL,Address,Date Added,Date Contacted,Contacted,Notes,My Offering
Ok Construction Company,Construction,,,(347) 330-3111,http://www.okconstructioncorp.com,"239 N 9th St Brooklyn, NY 11211",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/ok-construction-company-505744597,"$1,500 setup $20 per month (blog, landing & contact form)"
MEC Construction Corp,Construction,,,(718) 235-0800,http://www.mecccontracting.com,"21 Autumn Ave Brooklyn, NY 11208",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/mec-construction-corp-14799145,"$1,500 setup $20 per month (blog, landing & contact form)"
Empire State Development,Construction,,,(718) 745-1044,http://www.esdcontractors.com,"9710 3rd Ave Brooklyn, NY 11209",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/empire-state-development-14365343,"$1,500 setup $20 per month (blog, landing & contact form)"
DSC Construction Inc,Construction,,,(347) 623-5135,https://dscconstruction.us,"18 Division Pl Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dsc-construction-inc-456804674,"$1,500 setup $20 per month (blog, landing & contact form)"
Tiger Construction Inc,Construction,,,(718) 714-4697,N/A,"2707 Stillwell Ave Brooklyn, NY 11224",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/tiger-construction-inc-7026872,"$1,500 setup $20 per month (blog, landing & contact form)"
Cavalier Construction Inc,Construction,,,(718) 383-2082,N/A,"143 Norman Ave Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/cavalier-construction-inc-16227449,"$1,500 setup $20 per month (blog, landing & contact form)"
Alma Design Inc,Construction,,,(917) 804-7853,http://www.almadesigninc.com/about-us.html,"501A Surf Ave Brooklyn, NY 11224",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/alma-design-inc-533443709,"$1,500 setup $20 per month (blog, landing & contact form)"
Rios Remodeling,Construction,,,(347) 263-8113,N/A,"3743 Polar St Brooklyn, NY 11224",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rios-remodeling-533615037,"$1,500 setup $20 per month (blog, landing & contact form)"
K.Billey Construction INC,Construction,,,(347) 885-4266,N/A,"2960 W 29th St Brooklyn, NY 11224",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/k-billey-construction-inc-563778899,"$1,500 setup $20 per month (blog, landing & contact form)"
Big Apple Remodeling Corp,Construction,,,(718) 314-7074,N/A,"952 Manhattan Ave Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/big-apple-remodeling-corp-469677012,"$1,500 setup $20 per month (blog, landing & contact form)"
Plaza Restoration Inc,Construction,,,(718) 349-3135,N/A,"232 India St Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/plaza-restoration-inc-4619093,"$1,500 setup $20 per month (blog, landing & contact form)"
Raf Construction & Devlpmnt Corp,Construction,,,(718) 599-7630,N/A,"249 Huron St Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/raf-construction-devlpmnt-corp-9255819,"$1,500 setup $20 per month (blog, landing & contact form)"
Dromos Corp,Construction,,,(718) 389-6670,N/A,"105 Clay St Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/dromos-corp-462451199,"$1,500 setup $20 per month (blog, landing & contact form)"
Complete Management,Construction,,,(718) 383-2900,http://cmsnetwork.com,"77 Box St Brooklyn, NY 11222",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/complete-management-459101876,"$1,500 setup $20 per month (blog, landing & contact form)"
Enjay Construction Inc,Construction,,,(718) 267-7351,N/A,"32 E 31st St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/enjay-construction-inc-467312105,"$1,500 setup $20 per month (blog, landing & contact form)"
Htin General Contractor,Construction,,,(718) 483-8059,N/A,"2923 Snyder Ave Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/htin-general-contractor-13849095,"$1,500 setup $20 per month (blog, landing & contact form)"
Countywide Builders,Construction,,,(347) 384-1024,N/A,"2809 Snyder Ave Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/countywide-builders-573863095,"$1,500 setup $20 per month (blog, landing & contact form)"
Lance Developers,Construction,,,(347) 435-0138,N/A,"7 E 31st St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/lance-developers-527508215,"$1,500 setup $20 per month (blog, landing & contact form)"
S Construction Services Corp Creatives,Construction,,,(718) 528-2410,N/A,"226 Linden Blvd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/s-construction-services-corp-creatives-503737560,"$1,500 setup $20 per month (blog, landing & contact form)"
Rahmann Contracting Co,Construction,,,(646) 423-0266,N/A,"322 Linden Blvd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/rahmann-contracting-co-541873370,"$1,500 setup $20 per month (blog, landing & contact form)"
A & E Quality Construction,Construction,,,(347) 365-3790,N/A,"399 E 34th St Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/a-e-quality-construction-493524400,"$1,500 setup $20 per month (blog, landing & contact form)"
Innovation Construction Co,Construction,,,(718) 666-7679,N/A,"2902 Beverley Rd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/innovation-construction-co-548184540,"$1,500 setup $20 per month (blog, landing & contact form)"
Atlantic Construction Co,Construction,,,(718) 871-4100,http://atlanticconstructioncorp.com/home,"2524 Beverley Rd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/atlantic-construction-co-11065362,"$1,500 setup $20 per month (blog, landing & contact form)"
Pro-Metal Constructi,Construction,,,(347) 663-4460,N/A,"911 Flatbush Ave Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/pro-metal-constructi-3091644,"$1,500 setup $20 per month (blog, landing & contact form)"
American Contractors,Construction,,,(718) 693-2626,http://www.american-club.com,"8817 Bay Park Way Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/american-contractors-2416290,"$1,500 setup $20 per month (blog, landing & contact form)"
Megatown Construction,Construction,,,(917) 832-5924,N/A,"E 22nd St Brooklyn, NY 11229",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/megatown-construction-566408575,"$1,500 setup $20 per month (blog, landing & contact form)"
Loundromat Construction,Construction,,,(347) 365-3946,N/A,"2710 Clarendon Rd Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/loundromat-construction-7433959,"$1,500 setup $20 per month (blog, landing & contact form)"
NABB Builders & Construction Inc,Construction,,,(347) 789-8282,N/A,"886 Albany Ave Brooklyn, NY 11203",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/nabb-builders-construction-inc-469812611,"$1,500 setup $20 per month (blog, landing & contact form)"
S & B Contractors,Construction,,,(718) 282-3036,N/A,"2023 Caton Ave Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/s-b-contractors-461394429,"$1,500 setup $20 per month (blog, landing & contact form)"
Z Abedin Construction,Construction,,,(917) 903-0196,N/A,"372 E 32nd St Brooklyn, NY 11226",4/4/25,,,https://www.yellowpages.com/brooklyn-ny/mip/z-abedin-construction-29297601,"$1,500 setup $20 per month (blog, landing & contact form)"
